2002-08-01,10000
2002-08-02,10000
2002-08-03,10000
2002-08-04,10000
2002-08-05,10000
2002-08-06,10000
2002-08-07,10000
2002-08-08,10000
2002-08-09,10000
2002-08-10,10000
2002-08-11,10000
2002-08-12,10000
2002-08-13,10000
2002-08-14,10000
2002-08-15,10000
2002-08-16,10000
2002-08-17,10000
2002-08-18,10000
2002-08-19,10000
2002-08-20,10000
2002-08-21,10000
2002-08-22,10000
2002-08-23,10000
2002-08-24,10000
2002-08-25,10000
2002-08-26,10000
2002-08-27,10000
2002-08-28,10000
2002-08-29,10000
2002-08-30,10000
2002-08-31,10000
2002-09-01,10000
2002-09-02,10000
2002-09-03,10000
2002-09-04,10000
2002-09-05,10000
2002-09-06,10000
2002-09-07,10000
2002-09-08,10000
2002-09-09,10000
2002-09-10,10000
2002-09-11,10000
2002-09-12,10000
2002-09-13,10000
2002-09-14,10000
2002-09-15,10000
2002-09-16,10000
2002-09-17,10000
2002-09-18,10000
2002-09-19,10000
2002-09-20,10000
2002-09-21,10000
2002-09-22,10000
2002-09-23,10000
2002-09-24,10000
2002-09-25,10000
2002-09-26,10000
2002-09-27,10000
2002-09-28,10000
2002-09-29,10000
2002-09-30,10071
2002-10-01,10019
2002-10-02,9923
2002-10-03,9972
2002-10-04,9960
2002-10-05,9960
2002-10-06,9960
2002-10-07,9938
2002-10-08,9913
2002-10-09,9820
2002-10-10,9816
2002-10-11,9757
2002-10-12,9757
2002-10-13,9757
2002-10-14,9705
2002-10-15,9813
2002-10-16,9811
2002-10-17,9870
2002-10-18,9830
2002-10-19,9830
2002-10-20,9830
2002-10-21,9911
2002-10-22,9916
2002-10-23,9916
2002-10-24,9862
2002-10-25,9890
2002-10-26,9890
2002-10-27,9890
2002-10-28,9918
2002-10-29,9942
2002-10-30,9952
2002-10-31,9924
2002-11-01,9924
2002-11-02,9924
2002-11-03,9924
2002-11-04,9977
2002-11-05,10010
2002-11-06,10072
2002-11-07,10116
2002-11-08,10137
2002-11-09,10137
2002-11-10,10137
2002-11-11,10048
2002-11-12,9983
2002-11-13,9913
2002-11-14,9914
2002-11-15,9919
2002-11-16,9919
2002-11-17,9919
2002-11-18,10034
2002-11-19,10048
2002-11-20,10021
2002-11-21,9979
2002-11-22,9996
2002-11-23,9996
2002-11-24,9996
2002-11-25,10143
2002-11-26,10169
2002-11-27,10152
2002-11-28,10078
2002-11-29,10096
2002-11-30,10096
2002-12-01,10096
2002-12-02,10147
2002-12-03,10163
2002-12-04,10207
2002-12-05,10208
2002-12-06,10141
2002-12-07,10141
2002-12-08,10141
2002-12-09,10115
2002-12-10,10125
2002-12-11,10051
2002-12-12,10032
2002-12-13,10030
2002-12-14,10030
2002-12-15,10030
2002-12-16,10057
2002-12-17,10015
2002-12-18,10057
2002-12-19,10112
2002-12-20,10116
2002-12-21,10116
2002-12-22,10116
2002-12-23,10118
2002-12-24,10168
2002-12-25,10168
2002-12-26,10189
2002-12-27,10208
2002-12-28,10208
2002-12-29,10208
2002-12-30,10210
2003-01-01,10169
2003-01-02,10209
2003-01-03,10213
2003-01-04,10213
2003-01-05,10213
2003-01-06,10273
2003-01-07,10317
2003-01-08,10398
2003-01-09,10345
2003-01-10,10315
2003-01-11,10315
2003-01-12,10315
2003-01-13,10380
